Date,IE00B5L01S80,IE00BM67HM91,IE00BM67HP23,IE00BM67HL84,IE00BM67HK77,IE00BM67HV82,IE00BM67HS53,IE00BM67HN09,IE00BM67HT60,IE00BM67HQ30,IE00BM67HR47
2017-04-19,17.14963150024414,28.350000381469727,24.875,15.404999732971191,25.19499969482422,28.53499984741211,30.69499969482422,29.799999237060547,19.114999771118164,19.924999237060547,11.199999809265137
2017-04-20,17.114212036132812,28.15999984741211,24.875,15.454999923706055,25.094999313354492,28.53499984741211,30.68000030517578,29.799999237060547,19.03499984741211,19.645000457763672,11.149999618530273
2017-04-21,17.08437728881836,28.030000686645508,25.065000534057617,15.5649995803833,25.229999542236328,28.53499984741211,30.68000030517578,29.69499969482422,19.229999542236328,19.645000457763672,11.170000076293945
2017-04-24,16.95201873779297,27.959999084472656,25.065000534057617,15.70300006866455,25.149999618530273,28.53499984741211,30.68000030517578,29.614999771118164,19.1299991607666,19.854999542236328,11.170000076293945
2017-04-25,17.062007904052734,27.93000030517578,25.065000534057617,15.748000144958496,25.18000030517578,28.53499984741211,30.68000030517578,29.530000686645508,19.165000915527344,19.670000076293945,11.170000076293945
2017-04-26,17.07132911682129,28.299999237060547,25.31999969482422,15.885000228881836,25.405000686645508,28.53499984741211,31.065000534057617,29.59000015258789,19.280000686645508,19.670000076293945,11.09000015258789
2017-04-27,16.927776336669922,27.6299991607666,25.31999969482422,15.727999687194824,25.489999771118164,28.53499984741211,31.065000534057617,29.53499984741211,19.325000762939453,19.670000076293945,11.050000190734863
2017-04-28,16.793554306030273,27.739999771118164,25.225000381469727,15.657999992370605,25.434999465942383,28.860000610351562,31.065000534057617,29.395000457763672,19.344999313354492,19.700000762939453,11.050000190734863
2017-05-02,16.935232162475586,27.670000076293945,25.225000381469727,15.682999610900879,25.479999542236328,28.8799991607666,31.065000534057617,29.31999969482422,19.59000015258789,19.6299991607666,10.9399995803833
2017-05-03,16.801008224487305,27.559999465942383,25.155000686645508,15.6850004196167,25.520000457763672,28.8799991607666,31.065000534057617,29.270000457763672,19.5049991607666,19.65999984741211,10.890000343322754
2017-05-04,16.655590057373047,27.190000534057617,25.084999084472656,15.79800033569336,25.59000015258789,28.834999084472656,31.065000534057617,29.440000534057617,19.524999618530273,19.69499969482422,10.835000038146973
2017-05-05,16.78422737121582,27.40999984741211,25.084999084472656,15.755000114440918,25.485000610351562,28.834999084472656,31.065000534057617,29.440000534057617,19.450000762939453,19.69499969482422,10.835000038146973
2017-05-08,16.718978881835938,27.729999542236328,25.084999084472656,15.819999694824219,25.600000381469727,28.834999084472656,31.065000534057617,29.645000457763672,19.649999618530273,19.69499969482422,10.96500015258789
2017-05-09,16.718978881835938,27.790000915527344,25.469999313354492,15.829999923706055,25.700000762939453,28.834999084472656,30.579999923706055,29.764999389648438,19.825000762939453,19.69499969482422,10.96500015258789
2017-05-10,16.79727554321289,28.18000030517578,25.44499969482422,15.869999885559082,25.645000457763672,28.834999084472656,30.704999923706055,29.799999237060547,19.889999389648438,19.69499969482422,10.96500015258789
2017-05-11,16.704063415527344,28.149999618530273,25.44499969482422,15.760000228881836,25.604999542236328,28.90999984741211,30.6200008392334,29.735000610351562,19.809999465942383,19.69499969482422,10.96500015258789
2017-05-12,16.733890533447266,28.0,25.44499969482422,15.633000373840332,25.700000762939453,28.790000915527344,30.4950008392334,29.729999542236328,19.815000534057617,19.69499969482422,10.96500015258789
2017-05-15,16.815919876098633,28.149999618530273,25.149999618530273,15.713000297546387,25.645000457763672,28.790000915527344,30.4950008392334,29.68000030517578,19.834999084472656,19.90999984741211,10.96500015258789
2017-05-16,16.74880599975586,27.8700008392334,25.149999618530273,15.595000267028809,25.469999313354492,28.594999313354492,30.46500015258789,29.639999389648438,19.760000228881836,19.825000762939453,10.96500015258789
2017-05-17,16.718978881835938,27.559999465942383,25.149999618530273,15.204999923706055,25.149999618530273,28.594999313354492,30.46500015258789,29.395000457763672,19.375,19.700000762939453,10.800000190734863
2017-05-18,16.756267547607422,27.350000381469727,25.149999618530273,15.170000076293945,25.114999771118164,28.594999313354492,30.46500015258789,29.354999542236328,19.31999969482422,19.709999084472656,10.789999961853027
2017-05-19,16.836429595947266,27.399999618530273,25.149999618530273,15.243000030517578,25.100000381469727,28.594999313354492,30.46500015258789,29.375,19.34000015258789,19.709999084472656,10.789999961853027
2017-05-22,16.9110050201416,27.389999389648438,25.149999618530273,15.218000411987305,25.030000686645508,28.594999313354492,30.46500015258789,29.375,19.3700008392334,19.709999084472656,10.789999961853027
2017-05-23,16.957609176635742,27.43000030517578,25.149999618530273,15.277999877929688,25.06999969482422,28.270000457763672,30.139999389648438,29.540000915527344,19.424999237060547,19.709999084472656,10.789999961853027
2017-05-24,16.957609176635742,27.510000228881836,25.149999618530273,15.357999801635742,25.200000762939453,28.270000457763672,30.139999389648438,29.540000915527344,19.56999969482422,19.709999084472656,10.789999961853027
2017-05-25,17.062007904052734,27.170000076293945,24.770000457763672,15.324999809265137,25.21500015258789,28.420000076293945,30.114999771118164,29.739999771118164,19.670000076293945,19.709999084472656,10.789999961853027
2017-05-26,16.968793869018555,26.979999542236328,24.770000457763672,15.34000015258789,25.280000686645508,28.420000076293945,30.104999542236328,29.889999389648438,19.735000610351562,19.709999084472656,10.789999961853027
2017-05-29,16.968793869018555,27.06999969482422,24.770000457763672,15.335000038146973,25.225000381469727,28.5,30.104999542236328,29.899999618530273,19.770000457763672,19.709999084472656,10.789999961853027
2017-05-30,16.942691802978516,26.780000686645508,24.770000457763672,15.262999534606934,25.21500015258789,28.5,30.104999542236328,29.825000762939453,19.790000915527344,19.709999084472656,10.789999961853027
2017-05-31,16.912866592407227,26.389999389648438,24.770000457763672,15.085000038146973,25.229999542236328,28.405000686645508,29.829999923706055,29.854999542236328,19.68000030517578,19.709999084472656,10.789999961853027
2017-06-01,16.981843948364258,26.709999084472656,24.770000457763672,15.208000183105469,25.405000686645508,28.405000686645508,30.09000015258789,29.885000228881836,19.719999313354492,19.709999084472656,10.789999961853027
2017-06-02,17.224197387695312,26.260000228881836,25.149999618530273,15.192999839782715,25.53499984741211,28.81999969482422,30.09000015258789,29.975000381469727,19.790000915527344,20.280000686645508,10.789999961853027
2017-06-05,17.144039154052734,26.260000228881836,25.149999618530273,15.192999839782715,25.4950008392334,28.81999969482422,30.09000015258789,30.065000534057617,19.954999923706055,20.280000686645508,10.789999961853027
2017-06-06,17.144039154052734,26.34000015258789,25.149999618530273,15.130000114440918,25.385000228881836,28.81999969482422,30.09000015258789,30.06999969482422,19.940000534057617,20.280000686645508,10.789999961853027
2017-06-07,17.216745376586914,26.18000030517578,25.149999618530273,15.220000267028809,25.385000228881836,28.81999969482422,30.190000534057617,30.024999618530273,19.954999923706055,20.334999084472656,10.789999961853027
2017-06-08,17.106754302978516,26.260000228881836,25.149999618530273,15.447999954223633,25.450000762939453,28.625,30.329999923706055,29.829999923706055,20.014999389648438,20.334999084472656,10.789999961853027
2017-06-09,17.188777923583984,26.5,25.149999618530273,15.635000228881836,25.575000762939453,28.80500030517578,30.329999923706055,29.80500030517578,20.065000534057617,20.334999084472656,10.789999961853027
2017-06-12,17.2335205078125,26.809999465942383,25.149999618530273,15.574999809265137,25.424999237060547,28.75,30.329999923706055,29.69499969482422,19.44499969482422,20.170000076293945,10.789999961853027
